backend,region,ws,max_abs_err,median_abs_err,max_rel_err_safe,signed_aggregate_err,aggregate_abs_err_max_sigma,sum_mass_rel_err_max_sigma,value_pass,worst_sigma,n_nan,prep_seconds,prep_nbytes,max_deriv_abs_err,deriv_floor_max,deriv_pass,panel_count,n_nonmonotone_rows,bound_violations,npz_bytes,npz_sha256,fast_path_events
table_K24,Mifflin Square,none,0.0004120490701593482,1.3898978068310405e-05,0.0018089634480468403,-0.019365718713770796,0.019365718713770796,0.0018089624828579649,True,31.622776601683793,0,5.3204380000024685,18240,0.006621344542462659,1.2100857353184816e-07,False,,0.0,0.0,1753.0,aa5eaf2264959787,
table_K40,Lower South,none,0.0002521772435586378,6.738731849198487e-07,0.00039546979627241657,-0.003023179464515746,0.007616440043742789,3.659680502085964e-05,True,470.3664141263562,0,27.902024099996197,82240,0.023228382514910467,5.429310704722449e-08,False,,97.0,201.0,41416.0,d70c11bf7a6eb25c,
table_K40,North Delaware,none,0.00028658054425401147,2.5977375739394404e-07,0.00029733109087337633,-0.005938121720787892,0.007417435006252471,7.513092737376291e-05,True,470.3664141263562,0,27.23726919999899,82240,0.02839528912508607,5.458552128819368e-08,False,,110.0,121.0,25217.0,efa03a25582aaf1b,
table_K40,Central,none,0.00028191561820645195,1.5545831233421126e-07,0.00036067779877987656,-0.004802499411805661,0.008363540843499995,5.883404459848002e-05,True,470.3664141263562,0,30.52529830000276,82240,0.029009690929982623,5.2099731936057957e-08,False,,105.0,161.0,36401.0,2a71cc3dc2f38b9d,
table_K40,East Fairmount Park,none,0.00024376514904295155,4.5215463460035465e-06,0.0007788648641142044,0.0032092709990246965,0.004462772602780649,0.0001056902202708116,True,10.630000037921143,0,50.85286469999846,70720,0.02504374667729234,1.3177492430571647e-07,False,,26.0,29.0,24190.0,28424c26a9f04e90,
table_K40,Mifflin Square,none,7.222093097258853e-05,3.395448196885642e-06,0.00014561123113339465,0.003394277768465015,0.003394277768465015,0.00014561113634312592,True,27.83604811489829,0,6.877341999999771,30400,0.004222360842011164,1.2100857353184816e-07,False,,0.0,0.0,2467.0,269ff904a09f503b,
table_K64,Lower South,none,9.516911180007526e-06,1.5575080836160993e-07,1.7571261326295064e-05,6.839209753756181e-05,0.0001983257816202122,6.099279166502574e-07,True,456.4399055840272,0,39.36917050000193,131584,0.014934112836874028,5.429310704722449e-08,False,,102.0,33.0,65391.0,1dde2de40421e849,
table_K64,North Delaware,none,5.241404185452048e-06,5.8893757148847925e-08,1.1007963144155539e-05,-7.091252167468198e-05,0.00015161490737419792,8.821658411441174e-07,True,421.37351161200934,0,59.48675530000037,131584,0.017723701807639464,5.458552128819368e-08,False,,110.0,19.0,39424.0,a99ab82cca17beee,
table_K64,Central,none,7.445640082703875e-06,3.3542726818325264e-08,1.1269273148433607e-05,-3.685732870356562e-05,0.0001858901016888459,4.458911445521649e-07,True,421.37351161200934,0,60.39286179999908,131584,0.017967715824013464,5.2099731936057957e-08,False,,105.0,38.0,57324.0,c97bba146e2a8808,
table_K64,East Fairmount Park,none,1.1229667576273528e-05,8.699282598723102e-07,2.3752001447610612e-05,0.0002560549914998114,0.000304795093550303,7.494279952738849e-06,True,200.0,0,89.48964400000114,113152,0.015608855876258293,1.3177492430571647e-07,False,,30.0,5.0,38625.0,804a496e1f61e11b,
table_K64,Mifflin Square,none,1.5342384319438906e-05,4.7360497004711455e-07,1.6575428749839922e-05,0.0007210714407483998,0.0007210714407483998,1.6574981801302337e-05,True,25.748603538794267,0,12.32005019999633,48640,0.0016178835591995067,1.2100857353184816e-07,False,,0.0,0.0,3522.0,1d240adc841ffe58,
quad_h20_q16,Lower South,400.0,1.7594148360444706e-11,1.0325074129013956e-14,3.287212288519717e-11,-1.1583400905124108e-10,1.9401968920362833e-10,1.0179857404510348e-12,True,10.0,0,0.1608803999988595,947200,,,,185.0,,,,,27.0
quad_h20_q16,Mifflin Square,400.0,2.2926105458509483e-13,3.519406988061746e-14,5.718603661992753e-13,-1.0716649789799249e-11,1.0716649789799249e-11,5.704549104430008e-13,True,50.0,0,0.04891549999592826,101520,,,,54.0,,,,,0.0
